"Rk,Player,Att 3rd,Att Pen,Succ,Att,Succ%,#Pl,Megs,PrgDist,Prog,1/3,CPA,Mis,Dis"
"268,Jamal Lewis\efb9215a,241,9,14,27,51.9,14,1,1372,43,18,1,6,16"
"269,Victor Lindelöf\f5deef4c,89,10,2,4,50.0,2,0,5041,113,24,0,2,6"
"270,Jesse Lingard\810e3c74,427,51,21,49,42.9,23,3,2523,120,49,16,30,29"
"271,Jake Livermore\b98570d1,69,8,2,6,33.3,2,0,404,15,4,0,6,8"
"272,Diego Llorente\bba30585,20,9,5,5,100.0,5,0,2231,32,2,0,2,7"
"273,Hugo Lloris\8f62b6ee,0,0,1,1,100.0,1,0,1070,0,0,0,0,0"
"274,Giovani Lo Celso\d7553721,251,25,14,19,73.7,14,2,1456,59,23,6,11,25"
"275,Ruben Loftus-Cheek\e97fd090,5,0,0,4,0.0,0,1,46,1,1,0,2,1"
"276,Ruben Loftus-Cheek\e97fd090,370,75,47,76,61.8,51,3,2666,109,38,13,57,40"
"277,Kevin Long\5a4280b1,10,7,0,0,,0,0,161,1,0,0,1,0"
"278,Shane Long\9f472354,41,7,3,6,50.0,3,0,33,3,0,0,7,9"
"279,Matthew Longstaff\c0027d2d,32,1,1,1,100.0,1,0,98,1,2,0,1,1"
"280,Sean Longstaff\a2b105e0,178,21,4,8,50.0,5,0,723,23,6,1,9,7"
"281,Ademola Lookman\7c104bb7,871,144,83,130,63.8,87,9,3891,220,63,41,78,84"
"282,Max Lowe\7af88b33,115,11,7,10,70.0,7,0,355,20,2,3,3,7"
"283,Matthew Lowton\9a9c05db,472,22,24,36,66.7,26,2,2740,108,48,4,19,23"
"284,David Luiz\c0e27d1a,65,19,2,4,50.0,2,0,3380,80,19,2,2,1"
"285,Douglas Luiz\6f7d826d,330,22,24,33,72.7,25,1,3334,111,35,2,11,19"
"286,John Lundstram\0df2b165,457,33,16,25,64.0,18,1,1780,74,33,2,20,21"
"287,Alexis Mac Allister\83d074ff,240,38,15,25,60.0,16,0,869,42,15,2,20,18"
"288,James Maddison\ee38d9c5,706,69,32,55,58.2,34,1,2436,148,41,14,42,43"
"289,Harry Maguire\d8931174,206,51,6,13,46.2,7,0,6498,200,57,3,6,10"
"290,Riyad Mahrez\892d5bb1,876,156,36,74,48.6,39,0,3040,202,45,48,33,35"
"291,Ainsley Maitland-Niles\e3a5814e,90,8,6,14,42.9,7,0,615,18,5,3,6,8"
"292,Ainsley Maitland-Niles\e3a5814e,204,35,18,35,51.4,21,0,869,40,16,8,18,32"
"293,Josh Maja\bc0bfc64,114,38,14,16,87.5,14,0,215,13,5,1,21,17"
"294,Sadio Mané\c691bfe2,1016,283,84,142,59.2,90,6,3848,223,71,54,98,82"
"295,Javier Manquillo\758dd7f0,175,7,4,14,28.6,5,0,731,26,9,0,12,8"
"296,Fernando Marçal\9ae9eaea,106,4,7,9,77.8,8,1,649,21,5,0,3,8"
"297,Solly March\bb5fbd2b,548,59,35,54,64.8,37,4,2728,140,35,19,17,26"
"298,Pablo Marí\aa54ec6f,10,3,3,3,100.0,3,0,1551,35,4,0,1,0"
"299,Anthony Martial\8b788c01,416,121,34,52,65.4,35,1,1560,96,28,17,37,47"
"300,Martinelli\48a5a5d6,158,44,16,29,55.2,17,1,647,31,7,9,14,12"
"301,Emiliano Martínez\7956236f,0,0,0,0,,0,0,1829,0,0,0,1,0"
"302,Arthur Masuaku\57df7a11,227,12,30,47,63.8,30,1,1894,77,31,4,8,17"
"303,Juan Mata\29733c72,146,17,3,4,75.0,3,0,583,39,14,4,7,11"
"304,Jean-Philippe Mateta\50e6dc35,23,8,1,2,50.0,2,1,55,4,1,1,7,6"
"305,Nemanja Mati?\eb7822d7,185,9,15,18,83.3,15,0,3315,111,36,3,7,10"
"306,Joël Matip\b217ef29,24,6,0,0,,0,0,1296,38,12,0,0,2"
"307,Neal Maupay\4bcf39f6,527,171,24,41,58.5,25,1,1544,89,28,16,61,63"
"308,James McArthur\cee31595,139,19,17,22,77.3,18,1,1392,56,21,2,11,14"
"309,Oliver McBurnie\78b8ac63,315,58,9,21,42.9,10,2,490,27,8,3,25,25"
"310,Alex McCarthy\36c2ca73,0,0,2,2,100.0,2,0,1065,0,0,0,1,0"
"311,James McCarthy\64b08de7,50,1,3,5,60.0,4,0,314,15,3,0,3,2"
"312,John McGinn\90f91999,525,58,56,75,74.7,57,1,2906,124,42,3,37,58"
"313,David McGoldrick\dbe56a33,712,101,46,80,57.5,54,5,1613,93,37,14,65,53"
"314,Dwight McNeil\fc15fb84,706,51,66,114,57.9,69,7,3476,172,66,21,42,62"
"315,Scott McTominay\d93c2511,334,36,22,32,68.8,22,0,3281,125,42,5,32,30"
"316,Ben Mee\8df7a2fb,65,44,3,5,60.0,3,0,1056,16,2,0,5,3"
"317,Hannibal Mejbri\ca22ccb0,0,0,3,3,100.0,3,1,14,0,0,0,0,1"
"318,Benjamin Mendy\5271c8f1,268,16,14,17,82.4,14,2,1017,50,12,3,7,8"
"319,Edouard Mendy\33887998,0,0,1,1,100.0,1,0,898,0,0,0,1,0"
"320,Nampalys Mendy\1598599e,193,1,6,14,42.9,7,1,1679,65,16,0,17,15"
"321,Illan Meslier\6b625ac2,0,0,0,0,,0,0,1713,0,0,0,2,1"
"322,Luka Milivojevi?\2ce2508a,217,8,14,19,73.7,15,1,1969,74,17,0,7,20"
"323,James Milner\2f90f6b8,308,25,6,13,46.2,6,1,1566,69,24,1,6,11"
"324,Yerry Mina\6d5701f2,35,25,0,1,0.0,0,0,3827,73,5,0,1,3"
"325,Takumi Minamino\f833a830,68,12,8,9,88.9,8,0,202,14,3,3,5,6"
"326,Takumi Minamino\f833a830,121,20,5,12,41.7,5,0,598,26,7,5,14,10"
"327,Tyrone Mings\8397a50c,84,37,8,13,61.5,8,0,3397,54,9,1,9,7"
"328,Tyrick Mitchell\5cbd1eb0,222,10,15,22,68.2,15,1,922,31,9,0,10,14"
"329,Aleksandar Mitrovi?\3925dbd6,318,117,14,22,63.6,15,1,465,26,5,3,55,29"
"330,Jakub Moder\f230bc30,177,25,9,16,56.3,10,1,889,50,11,7,12,6"
"331,Jayson Molumby\c908a1bc,0,0,0,0,,0,0,0,0,0,0,0,0"
"332,Wesley Moraes\bfae110f,7,1,0,0,,0,0,6,1,0,0,1,0"
"333,Wes Morgan\80c31c97,0,0,0,0,,0,0,5,0,0,0,0,0"
"334,Mason Mount\9674002f,1115,147,50,79,63.3,52,9,4946,265,100,38,49,54"
"335,Lucas Moura\2b622f01,328,46,36,65,55.4,39,2,2014,94,42,7,38,43"
"336,Lys Mousset\d9cfca3d,48,10,4,15,26.7,6,1,73,5,0,1,11,9"
"337,João Moutinho\f5a00fa4,539,10,10,23,43.5,12,0,3114,156,40,1,11,7"
"338,Joel Mumbongo\f8e588df,5,0,0,0,,0,0,11,0,0,0,1,2"
"339,Jacob Murphy\de112b84,286,28,44,63,69.8,48,2,2032,86,34,14,20,38"
"340,Shkodran Mustafi\3f2d59fe,2,0,0,0,,0,0,210,6,1,0,0,0"
"341,Marvelous Nakamba\de5b5570,33,1,2,3,66.7,3,0,356,6,2,0,4,5"
"342,Iliman Ndiaye\5ed97752,4,0,0,0,,0,0,11,0,0,0,1,0"
"343,Wilfred Ndidi\6b47c5db,189,14,11,20,55.0,11,0,1798,43,19,1,18,18"
"344,Tanguy Ndombele\5cdddffa,359,39,70,97,72.2,73,5,2900,153,41,11,31,49"
"345,Reiss Nelson\c5bdb6e3,26,5,1,2,50.0,1,0,129,6,3,0,1,2"
"346,Pedro Neto\7ba2eaa9,856,111,74,122,60.7,79,7,5060,273,90,54,72,59"
"347,Rúben Neves\44bfb6c5,391,25,12,19,63.2,14,0,3060,125,43,3,16,19"
"348,Eddie Nketiah\a53649b7,74,29,10,15,66.7,11,0,203,11,3,3,9,6"
"349,Niels Nkounkou\f5b281e7,21,0,3,6,50.0,4,0,94,4,2,0,4,1"
"350,Dan Nlundulu\30040f5d,18,6,4,6,66.7,5,1,14,1,0,0,5,1"
"351,Mark Noble\ff527768,81,2,3,6,50.0,3,0,610,27,10,2,3,2"
"352,Will Norris\c73ada83,0,0,0,0,,0,0,86,0,0,0,0,0"
"353,Oliver Norwood\43439614,345,8,4,6,66.7,4,0,1391,52,5,0,11,11"
"354,Jack O'Connell\312626c1,15,0,0,1,0.0,0,0,82,3,1,0,0,0"
"355,Dara O'Shea\1d042188,124,19,5,11,45.5,5,0,1126,39,5,1,6,12"
"356,Michael Obafemi\caa1a7f0,5,3,0,1,0.0,0,0,18,1,0,0,2,0"
"357,Denis Odoi\f7750aa0,35,0,0,0,,0,0,642,10,10,0,0,1"
"358,Angelo Ogbonna\74b2cd7e,53,28,4,4,100.0,4,0,2008,38,3,0,4,4"
"359,Robin Olsen\e7ee38c3,0,0,0,0,,0,0,180,0,0,0,0,0"
"360,Josh Onomah\6612cd8c,71,7,1,2,50.0,2,0,485,18,7,0,7,11"
"361,Divock Origi\43a166b4,57,15,1,4,25.0,1,0,215,10,6,3,8,4"
"362,Ben Osborn\79bc4c45,422,41,18,30,60.0,21,1,1717,82,32,8,33,21"
"363,Owen Otasowie\6956ff08,33,6,3,5,60.0,3,0,165,9,4,0,6,7"
"364,Alex Oxlade-Chamberlain\38c7feef,77,7,2,7,28.6,3,0,319,16,7,0,8,7"
"365,Emerson Palmieri\e0bc6fdc,24,1,0,1,0.0,0,0,120,2,1,1,2,2"
"366,Thomas Partey\529f49ab,232,12,23,32,71.9,24,2,2821,128,47,1,7,21"
"367,Rui Patrício\79b0d6a0,0,0,0,0,,0,0,827,0,0,0,1,0"
"368,Bailey Peacock-Farrell\4879f8cb,0,0,0,0,,0,0,143,0,0,0,0,0"
"369,Lee Peltier\af341b88,18,0,1,1,100.0,1,0,50,1,1,0,1,0"
"370,Nicolas Pépé\57e3f0c7,519,115,31,78,39.7,32,5,1935,106,18,31,27,36"
"371,Matheus Pereira\b04ee927,685,83,39,77,50.6,46,9,2799,160,48,19,63,48"
"372,Ricardo Pereira\75a72a99,251,28,20,38,52.6,21,0,955,53,15,6,15,22"
"373,Ayoze Pérez\819aa8e7,342,59,27,55,49.1,31,3,1592,93,27,3,34,31"
"374,Kalvin Phillips\4f565d77,307,9,17,27,63.0,18,1,2279,60,14,2,22,30"
"375,Matt Phillips\7bb5f40e,369,61,28,57,49.1,28,3,1757,82,28,17,39,38"
"376,Nathaniel Phillips\515ebe8d,57,20,1,1,100.0,1,0,1869,47,7,1,6,2"
"377,Jaden Philogene Bidace\19f4d211,4,0,0,0,,0,0,17,2,0,0,0,0"
"378,Jordan Pickford\4806ec67,0,0,0,0,,0,0,1786,0,0,0,0,0"
"379,Erik Pieters\1ef37668,161,9,6,8,75.0,6,0,868,35,14,3,7,12"
"380,Daniel Podence\7fcc71d8,373,66,37,65,56.9,42,7,1920,87,27,19,29,30"
"381,Paul Pogba\867239d3,519,71,45,74,60.8,49,2,2984,147,33,5,49,48"
"382,Nick Pope\4b40d9ca,1,0,0,0,,0,0,1699,0,0,0,1,0"
"383,Dennis Praet\86695068,178,26,10,16,62.5,11,1,689,36,11,3,10,13"
"384,Davy Pröpper\fdd85f94,35,4,0,0,,0,0,187,8,6,0,2,7"
"385,Christian Pulisic\1bf33a9a,547,117,46,94,48.9,52,4,2831,171,54,27,62,50"
"386,Aaron Ramsdale\466fb2c5,2,2,2,2,100.0,2,0,1910,0,0,0,1,0"
"387,Jacob Ramsey\1544f145,126,21,9,14,64.3,10,0,551,20,9,2,10,12"
"388,Kayne Ramsey\dc31b84c,0,0,0,0,,0,0,12,0,0,0,0,0"
"389,Darren Randolph\6385ebfb,0,0,0,0,,0,0,68,0,0,0,0,0"
"390,Marcus Rashford\a1d5bd30,1030,190,88,164,53.7,94,21,3997,219,74,61,60,75"
"391,Tim Ream\28b40c9c,7,0,1,2,50.0,1,0,1110,29,2,0,1,1"
"392,Nathan Redmond\ab651565,467,85,44,84,52.4,50,2,2076,116,42,20,31,30"
"393,Harrison Reed\803ae100,327,10,15,21,71.4,17,1,2070,66,23,1,13,12"
"394,Sergio Reguilón\3353737a,505,55,27,51,52.9,32,4,2684,113,35,8,18,31"
"395,Bobby Reid\0f7533cd,457,92,28,51,54.9,29,4,1799,97,32,17,53,35"
"396,Declan Rice\1c7012b8,327,40,33,37,89.2,33,0,4320,165,59,7,24,21"
"397,Lewis Richardson\4fa62ae4,2,0,0,0,,0,0,0,0,0,0,0,2"
"398,Richarlison\fa031b34,595,157,62,111,55.9,64,7,3563,169,68,40,59,67"
"399,Jaïro Riedewald\7a1f2c08,160,15,12,22,54.5,14,2,1155,41,13,4,16,11"
"400,Matt Ritchie\71ef519e,272,13,6,8,75.0,6,0,1156,51,25,1,8,9"
"401,Tyler Roberts\6c17e046,267,48,17,27,63.0,18,0,1232,67,34,5,24,19"
"402,Andrew Robertson\2e4f5f03,1318,105,29,53,54.7,35,3,6289,239,96,12,39,20"
"403,Antonee Robinson\289601e6,581,34,48,68,70.6,50,4,4055,165,76,6,36,24"
"404,Callum Robinson\e75750a3,352,51,23,37,62.2,24,0,1034,59,16,12,38,32"
"405,Jack Robinson\7399c7a8,88,7,3,4,75.0,4,2,577,20,8,0,3,4"
"406,Hal Robson-Kanu\fb2dec57,104,16,6,16,37.5,8,0,278,20,4,4,33,20"
"407,Marek Rodák\17acc2ed,0,0,0,0,,0,0,42,0,0,0,0,0"
"408,Joe Rodon\8d62d31a,4,1,0,0,,0,0,426,5,0,0,2,0"
"409,Rodri\6434f10d,561,52,29,35,82.9,29,1,4860,192,47,10,18,22"
"410,Rodrigo\1fb1c435,338,76,18,29,62.1,20,0,1113,73,19,11,37,22"
"411,James Rodríguez\715bf047,423,35,29,47,61.7,32,3,1810,98,28,10,19,38"
"412,Jay Rodriguez\4ab53cdb,236,55,15,31,48.4,15,1,508,37,12,5,44,23"
"413,Oriol Romeu\4b511457,244,10,11,13,84.6,11,1,2348,111,39,3,9,22"
"414,John Ruddy\da8b19e2,0,0,0,0,,0,0,20,0,0,0,0,0"
"415,Antonio Rüdiger\18b896d6,98,19,3,6,50.0,4,1,3273,76,25,1,2,0"
"416,Mathew Ryan\4535e4bb,0,0,0,0,,0,0,394,0,0,0,0,0"
"417,Mathew Ryan\4535e4bb,1,1,0,0,,0,0,111,1,0,0,1,0"
"418,Allan Saint-Maximin\2b16cb1a,333,66,83,123,67.5,88,3,2890,148,50,27,40,60"
"419,Romain Saïss\9fbbcf39,158,36,8,14,57.1,8,0,2792,70,14,0,8,3"
"420,Bukayo Saka\bc7dc64d,834,155,42,80,52.5,47,3,3487,206,54,37,47,66"
"421,Mamadou Sakho\87935cf3,4,2,0,0,,0,0,153,3,2,0,1,1"
"422,Mohamed Salah\e342ad68,1162,313,50,98,51.0,56,2,3460,218,52,54,115,92"
"423,Mohammed Salisu\0b33f6ad,48,7,9,10,90.0,9,0,547,24,8,0,6,13"
"424,Davinson Sánchez\da7b447d,14,6,0,0,,0,0,1598,36,3,0,2,4"
"425,Robert Sánchez\6a713852,2,1,0,0,,0,0,1564,0,0,0,1,1"
"426,Morgan Sanson\6e7f1353,81,3,4,5,80.0,4,0,416,25,10,0,8,9"
"427,Romaine Sawyers\77bb1522,103,2,9,19,47.4,11,0,1105,39,5,0,9,17"
"428,Dane Scarlett\21945a9e,0,0,0,0,,0,0,0,0,0,0,0,0"
"429,Fabian Schär\c8aa95da,63,11,7,13,53.8,7,1,1474,34,7,0,4,6"
"430,Jeffrey Schlupp\3312f911,263,54,32,57,56.1,35,0,1028,59,16,13,25,52"
"431,Kasper Schmeichel\53af52f3,1,0,1,2,50.0,1,0,1447,0,0,0,0,0"
"432,Nélson Semedo\d04b94db,741,50,56,90,62.2,60,0,5023,230,83,10,46,38"
"433,Femi Seriki\e4e0deaa,0,0,0,0,,0,0,0,0,0,0,0,0"
"434,Jamie Shackleton\8d03ca5a,81,9,1,3,33.3,3,0,302,17,6,2,8,3"
"435,Xherdan Shaqiri\6421ec64,257,16,6,6,100.0,6,0,457,20,9,0,9,12"
"436,Billy Sharp\e8c9f4e9,128,41,7,10,70.0,7,1,194,12,4,4,17,22"
"437,Luke Shaw\9c94165b,940,61,38,60,63.3,39,3,5334,223,96,14,22,30"
"438,Jonjo Shelvey\3727dd3c,343,23,23,29,79.3,25,1,2117,71,24,1,7,12"
"439,Shola Shoretire\00f0482f,5,0,0,1,0.0,0,0,34,1,0,0,0,0"
"440,Gylfi Sigurðsson\76dd1480,452,49,15,26,57.7,16,1,1062,56,17,3,31,36"
"441,Bernardo Silva\3eb22ec9,763,101,41,58,70.7,42,2,5004,275,96,32,25,28"
"442,Fábio Silva\e7aa9d7c,238,89,15,32,46.9,16,2,580,28,10,6,43,20"
"443,Thiago Silva\86e7deaf,57,19,2,3,66.7,2,0,5319,159,17,0,7,2"
"444,Moussa Sissoko\2acd49b9,177,10,17,30,56.7,20,0,1529,67,26,3,8,14"
"445,Islam Slimani\ffec9769,7,2,0,0,,0,0,7,0,0,0,1,0"
"446,William Smallbone\5e105217,38,3,1,1,100.0,1,0,133,7,3,1,2,2"
"447,Emile Smith Rowe\17695062,379,49,7,29,24.1,9,2,1820,79,29,14,24,16"
"448,Robert Snodgrass\9f4647e9,71,11,3,6,50.0,3,1,222,13,4,4,2,4"
"449,Robert Snodgrass\9f4647e9,4,0,0,0,,0,0,0,0,0,0,0,0"
"450,Cédric Soares\839c14e1,181,11,6,10,60.0,6,0,900,40,14,3,9,9"
"451,Tomáš Sou?ek\6613c819,430,102,16,26,61.5,17,1,2040,84,35,3,34,24"
"452,Ça?lar Söyüncü\21166ff4,76,23,7,9,77.8,7,1,3648,96,27,0,5,5"
"453,Zack Steffen\42130443,0,0,0,0,,0,0,11,0,0,0,0,0"
"454,Dale Stephens\653ee42d,29,5,1,1,100.0,1,0,151,2,0,0,0,5"
"455,Jack Stephens\6adbc307,69,11,3,4,75.0,3,0,2408,63,12,0,5,8"
"456,Raheem Sterling\b400bde0,889,239,69,125,55.2,71,2,3686,234,53,62,60,82"
"457,Enda Stevens\17d4507a,536,45,29,45,64.4,30,3,2821,117,32,10,25,25"
"458,John Stones\5eecec3d,124,17,9,11,81.8,10,1,5688,203,33,0,4,1"
"459,Pascal Struijk\f4d296e4,82,20,4,5,80.0,4,1,2946,28,5,0,5,9"
"460,Japhet Tanganga\e9971f2d,59,3,12,14,85.7,12,1,350,10,3,0,0,4"
"461,Matt Targett\e514ab62,739,45,16,21,76.2,16,1,2399,107,29,4,16,16"
"462,James Tarkowski\15ea812b,132,72,11,13,84.6,12,0,1805,41,6,1,12,7"
"463,Percy Tau\4d0eb7d2,17,4,3,3,100.0,3,0,106,3,0,1,7,2"
"464,Sidnei Tavares\3add8ed8,10,1,1,1,100.0,1,0,54,2,1,0,1,3"
"465,Charlie Taylor\cc2d7ad5,404,12,27,46,58.7,28,0,2493,112,52,5,14,13"
"466,Neil Taylor\c2f9d19f,2,0,0,0,,0,0,9,1,0,0,0,0"
"467,Allan Tchaptchet\ab7d7882,0,0,0,0,,0,0,0,0,0,0,0,0"
"468,Nathan Tella\f1e94cd6,144,25,16,25,64.0,17,0,645,32,12,7,32,27"
"469,Alex Telles\e73c9bb2,200,3,3,6,50.0,3,0,1111,47,11,1,4,8"
"470,Kenny Tete\77d7c96f,295,20,8,19,42.1,9,3,1649,74,24,3,19,7"
"471,William Thomas Fish\b2ee9d2c,0,0,0,0,,0,0,1,0,0,0,0,0"
"472,Luke Thomas\fc027d02,201,17,10,17,58.8,10,1,639,31,5,4,14,13"
"473,Youri Tielemans\56f7a928,777,43,40,57,70.2,45,7,4300,168,50,9,29,47"
"474,Kieran Tierney\fce2302c,628,52,22,42,52.4,24,1,3356,150,49,20,20,16"
"475,James Tomkins\e7ca0439,6,6,0,0,,0,0,207,4,0,0,0,0"
"476,Fikayo Tomori\7edfbb8a,0,0,0,0,,0,0,38,0,0,0,0,0"
"477,Ferrán Torres\9e1035f8,387,70,19,44,43.2,20,0,1208,73,17,14,18,30"
"478,Cenk Tosun\9a104dee,10,2,0,0,,0,0,15,1,2,1,4,0"
"479,Andros Townsend\b28bbd58,533,35,44,68,64.7,47,0,3344,141,64,11,37,59"
"480,Conor Townsend\4dc4f138,352,29,12,26,46.2,12,1,2011,70,17,5,28,17"
"481,Adama Traoré\9a28eba4,681,117,160,214,74.8,173,5,5679,306,86,60,84,86"
"482,Bertrand Traoré\c47541e0,584,106,51,97,52.6,57,8,1833,97,25,14,51,35"
"483,Trézéguet\3ae14ed1,260,74,26,38,68.4,28,3,1173,63,20,14,27,13"
"484,Leandro Trossard\38ceb24a,788,133,42,68,61.8,45,3,3212,166,55,21,55,69"
"485,Kostas Tsimikas\f315ca93,6,0,0,0,,0,0,12,2,0,0,1,1"
"486,Axel Tuanzebe\2baec6ce,18,0,0,2,0.0,0,0,472,21,2,0,3,1"
"487,Cengiz Ünder\1880614f,109,10,12,20,60.0,13,1,468,30,6,2,10,9"
"488,Yan Valery\531a4aa8,28,2,1,4,25.0,1,0,161,8,1,1,3,6"
"489,Jamie Vardy\45963054,428,182,31,52,59.6,38,5,1199,71,15,34,60,18"
"490,Joël Veltman\dad4b285,464,37,21,33,63.6,23,2,2651,103,37,5,8,17"
"491,Jannik Vestergaard\1900032e,103,45,12,17,70.6,13,1,3848,109,20,0,8,5"
"492,Rúben Vinagre\b937e490,30,0,3,7,42.9,4,0,242,14,3,0,1,2"
"493,Carlos Vinícius\8b529245,43,17,5,6,83.3,5,0,78,3,0,0,12,12"
"494,João Virgínia\728e9b2e,0,0,0,0,,0,0,28,0,0,0,0,0"
"495,Vitinha\3b029691,140,10,8,11,72.7,9,1,896,45,14,2,11,10"
"496,Jake Vokins\d484c261,7,0,0,0,,0,0,70,2,2,0,0,0"
"497,Mat?j Vydra\0d4ceb32,268,86,23,36,63.9,26,1,544,35,7,10,44,22"
"498,Theo Walcott\1ecb65be,1,0,0,0,,0,0,63,0,1,0,1,0"
"499,Theo Walcott\1ecb65be,322,69,20,49,40.8,21,0,1550,80,30,13,45,41"
"500,Kyle Walker\86dd77d1,457,17,31,48,64.6,34,1,3950,184,66,6,8,21"
"501,Kyle Walker-Peters\984a5a64,479,60,50,75,66.7,51,1,4078,192,59,22,22,45"
"502,Aaron Wan-Bissaka\9e525177,741,39,40,66,60.6,43,2,4541,211,79,3,17,25"
"503,Joel Ward\8a7ff278,284,9,10,14,71.4,11,0,1385,53,27,0,19,8"
"504,James Ward-Prowse\3515d404,693,23,15,23,65.2,16,0,3475,120,41,1,16,17"
"505,Ollie Watkins\aed3a70f,797,243,48,77,62.3,52,3,2191,133,38,47,111,84"
"506,Caleb Watts\c7170b46,9,0,0,0,,0,0,16,2,0,0,0,2"
"507,Adam Webster\c40b6180,194,33,7,11,63.6,9,0,6347,162,55,2,16,14"
"508,Danny Welbeck\ce5143da,275,94,17,28,60.7,18,0,820,44,11,4,40,24"
"509,Timo Werner\49fe9070,690,202,30,79,38.0,35,3,3153,147,48,57,77,51"
"510,Ashley Westwood\495945ef,626,26,12,18,66.7,14,0,2449,97,38,0,19,19"
"511,Ben White\35e413f1,270,28,24,41,58.5,31,0,3793,108,37,1,11,15"
"512,Georginio Wijnaldum\eb58eef0,540,47,34,51,66.7,36,2,4054,173,73,6,24,26"
"513,Brandon Williams\5e74d6c8,22,1,1,5,20.0,1,0,316,12,2,0,2,2"
"514,Neco Williams\dd323728,103,10,6,9,66.7,6,0,384,21,5,1,1,2"
"515,Rhys Williams\012c975a,18,9,1,1,100.0,1,0,549,14,2,0,0,0"
"516,Willian\8b9ebd03,518,42,12,22,54.5,13,0,2262,128,42,11,15,21"
"517,Joe Willock\a3b03921,61,14,3,7,42.9,3,0,258,18,8,0,5,12"
"518,Joe Willock\a3b03921,138,39,22,34,64.7,22,2,957,37,13,6,20,22"
"519,Callum Wilson\c596fcb0,338,105,29,49,59.2,34,1,1373,71,27,24,68,53"
"520,Harry Winks\2f7acede,74,1,4,6,66.7,5,0,991,28,9,0,3,7"
"521,Chris Wood\4e9a0555,528,138,13,26,50.0,13,2,648,32,15,8,81,54"
"522,Granit Xhaka\e61b8aee,407,12,10,19,52.6,11,2,4786,159,40,0,7,19"
"523,Andriy Yarmolenko\849c826a,107,18,7,7,100.0,7,1,584,34,8,4,9,14"
"524,DeAndre Yedlin\ae0a7ddf,73,5,1,2,50.0,1,0,246,16,6,1,3,1"
"525,Okay Yoku?lu\e49ce451,102,10,18,24,75.0,18,1,807,19,9,1,7,12"
"526,Wilfried Zaha\b2bc3b1f,712,157,59,124,47.6,64,7,3250,182,53,49,87,103"
"527,Andre-Frank Zambo Anguissa\6bb2c084,469,53,87,119,73.1,90,3,4026,176,64,13,60,62"
"528,Andi Zeqiri\d01231f0,37,15,1,1,100.0,1,0,117,8,1,2,4,2"
"529,Oleksandr Zinchenko\51cf8561,444,10,5,11,45.5,5,1,2481,128,38,2,8,5"
"530,Hakim Ziyech\6622454d,443,37,18,34,52.9,19,4,1269,78,22,12,25,19"
"531,Kurt Zouma\ce4246f5,75,31,5,7,71.4,5,0,4108,97,22,0,4,7"
"532,Martin Ødegaard\79300479,289,26,12,18,66.7,12,0,1183,78,17,5,12,11"
